text,topic,label
"Inside Ford's new world headquarters: Scratch kitchens, rotisserie chickens and design secrets",Business,real
The government shutdown is over. The air traffic controller shortage is not,Business,real
"Trump cuts tariffs on goods like coffee, bananas and beef in bid to slash consumer prices",Business,real
Walmart shares are up 312% during outgoing CEO Doug McMillon's tenure. Here's how that compares to its rivals,Business,real
JPMorgan Chase wins fight with fintech firms over fees to access customer data,Business,real
Walmart CEO Doug McMillon to retire in January after nearly 12 years leading retailer,Business,real
"Fewer burritos, more bargains: Consumers flash holiday warning signs",Business,real
Billionaire families opt for buying sports teams over collecting art and cars,Business,real
D.R. Horton is tapping a startup’s AI zoning tool to build more homes,Business,real
Surveillance tech leads workers' comp claims to plummet at NYC construction sites,Business,real
"New foreclosures jump 20% in October, a sign of more distress in the housing market",Business,real
"Boeing defense workers approve new contract, ending more than 3-month strike",Business,real
Disney stock falls 7% as media giant posts mixed results,Business,real
MLS games head to Apple TV in 2026 as Season Pass subscription ends,Business,real
"Congressional hemp restrictions threaten $28 billion industry, sending companies scrambling",Business,real
Starbucks workers union launches strike in more than 40 cities on chain's key holiday sales day,Business,real
Sotheby's CEO sees 'very strong demand' ahead of $1.4 billion art auctions,Business,real
Verizon chairman Mark Bertolini says the board 'needed to act' to revive company,Business,real
This startup backed by Bezos and Benioff launched a trading platform for shares of rental homes,Business,real
From AI to ESG: Family offices expect heirs will take new path on investing,Business,real
Skims valued at $5 billion after new funding round as it accelerates store expansion,Business,real
"DOT freezes flight cuts as disruptions ease, shutdown ends",Business,real
"Toyota opens new U.S. battery plant, confirms $10 billion in new investments",Business,real
WNBA's Las Vegas Aces coach Becky Hammon says the league may need new leadership,Business,real
Shares of Swiss sneaker company On soar 20% as it raises guidance again,Business,real
Airlines warn flight cancellations will continue even after shutdown ends,Business,real
Real estate titan Barry Sternlicht says he will 'have to' drop employees in favor of AI,Business,real
Flight disruptions from shutdown pile up as Trump threatens air traffic controllers,Business,real
"Disney's newest cruise ship, the Destiny, is getting ready to set sail: Here's a peek inside",Business,real
More than 100 lawmakers push Starbucks to resume union negotiations,Business,real
How to Not Get Kidnapped for Your Bitcoin,Business,real
The Crypto Industry’s $28 Billion in ‘Dirty Money’,Business,real
Trump Tariffs Push Japan’s Economy Into Contraction,Business,real
Matthew Belloni Is Yelling ‘Iceberg!’ on the Hollywood Titanic,Business,real
Pasta at Twice the Price? Some Italian Producers Face Huge U.S. Tariffs.,Business,real
They Got Low Mortgage Rates During the Pandemic. Now They Can’t Move.,Business,real
"Former Fed Official Violated Trading Rules, Disclosures Show",Business,real
"An Economist Asked, How Much Should We Spend to Avoid the A.I. Apocalypse?",Business,real
What’s the Most Elegant Way to Lie to My Co-workers?,Business,real
Is Your College Football Team Short of Cash? Sports Betting Can Help.,Business,real
Hochul Urged to Ban Horseshoe Crab Fishing,Business,real
Lil Luv Dog Launches Goop-Like Beauty Brand for Dogs,Business,real
Disney and YouTube TV End Blackout,Business,real
Trump Administration Lifts Some Food Tariffs in Effort to Ease Prices,Business,real
F.D.A. Sharply Limits Use of Drug Linked to Two Teen Deaths,Business,real
"Judge to Approve Purdue Pharma Bankruptcy, Releasing Billions for Opioid Plaintiffs",Business,real
Trump Administration Scraps Cash Payments for Delayed or Canceled Flights,Business,real
A Reopened Government Hasn’t Ended Delays to Economic Data,Business,real
RedBird Capital Withdraws Takeover Bid for UK’s Telegraph,Business,real
JPMorgan Had to Pay for Charlie Javice’s Legal Fees — and Her Restaurant Bills,Business,real
What’s a Digital Passport and How Does It Work?,Business,real
Trump Turns to Affordability Message Amid Economic Frustration,Business,real
Switzerland Reaches Agreement With U.S. to Cut Tariff to 15%,Business,real
Stock Market Rally Is Dented as Signs of Worry Emerge,Business,real
How to Deal With Higher Home Heating Bills,Business,real
"Indigenous People Take the Stage at COP30 Climate Talks in Belém, Brazil",Business,real
"Palantir, the Market’s Most Valuable Military Contractor, Doesn’t Make Bombs or Guns",Business,real
"Walmart CEO Doug McMillon to Retire, John Furner Named as Successor",Business,real
Apple’s iPhone Pocket by Issey Miyake Is Confusing by Design,Business,real
Anthropic Says Its A.I. Agents Aided Chinese Hacking,Business,real
Conservative Media Picks an Epstein Story Line and Sticks to It,Business,real
RFK Jr. Walks a Tightrope on Trump Deal for Obesity Drugs,Business,real
Why Hollywood’s Star-Studded Movies Are Failing at the Box Office,Business,real
Housing Official Who Attacked Democrats Invokes a Disputed Family Legacy,Business,real
Anthropic Says Chinese Hackers Used Its A.I. in Online Attack,Business,real
"Sharon Camp, Mother of the ‘Plan B’ Contraceptive Pill, Dies at 81",Business,real
An Escape From India’s Air Pollution for Those Who Can Afford It,Business,real
"‘No Closure, No Transparency’: Harassment Victims Seek Resolution",Business,real
"Trump Officials Prepare Tariff Exemptions, Seeking to Lower Food Prices",Business,real
"Jim Avila, Former ABC News Correspondent, Dies at 70",Business,real
Boeing Defense Workers Approve New Contract,Business,real
Netflix Is Bringing Video Games to Users’ TVs,Business,real
The Global Climate Leadership Vacuum,Business,real
Starbucks Workers Are Striking at Dozens of Stores on ‘Red Cup Day’,Business,real
A War on Top Investor Advisers Is Growing,Business,real
Some South Korean Workers Return to Georgia Factory After U.S. Reissues Visas,Business,real
The Luxury Electric Vehicle Is in Trouble,Business,real
A BlackRock-Backed Roofing Conglomerate Goes Bust,Business,real
Man Accused of Running Southeast Asia Scam Compound Is Extradited to China,Business,real
Trump Administration Proposes a Drastic Cut in Housing Grants,Business,real
How TikTok came to rival eBay as a global online shopping destination,Business,real
"Here’s what’s going on with Trump’s tariffs, prices and the Supreme Court",Business,real
"Former Fed governor violated central bank’s trading rules, new disclosures show",Business,real
"The shutdown is over, but the nation’s aviation problems are not.",Business,real
"With estate planning, should all kids get an equal share?",Business,real
Don’t call it MSNBC. MS NOW takes on Trump’s Washington.,Business,real
Trump goes on defense over tariffs as prices on everyday items keep rising,Business,real
Wall Street Banks Prepare to Sell Billions of Dollars of X Loans,Business,real
Canada to Provide $720 Million to Canada Post to Avoid Insolvency at Mail Service,Business,real
Amazon Willing to Discuss Quebec Shutdown With Canadian Officials,Business,real
Target Drops DEI Goals and Ends Program to Boost Black Suppliers,Business,real
Energy & Utilities Roundup: Market Talk,Business,real
Basic Materials Roundup: Market Talk,Business,real
Auto & Transport Roundup: Market Talk,Business,real
Financial Services Roundup: Market Talk,Business,real
Novo Nordisk Shares Surge on New Obesity Drug Results,Business,real
EU Conditionally Approves International Paper's $7.16 Billion DS Smith Buy,Business,real
Google to Put Warnings on U.K. Businesses Using Fake Online Reviews,Business,real
Ericsson Shares Slump as Earnings Hit by Weakness Outside of Core Networks Business,Business,real
"Verizon Results Boosted by Higher Prices, Gain in Wireless Customers",Business,real
"If You Need to Escape a Wildfire in an EV, Here Is What to Know",Business,real
CaixaBank's CFO Sees Case for Dealmaking Among Europe's Banks,Business,real
Tesla to Recall Cars in China on Safety Concerns,Business,real
Korea Zinc Shares Rally After Adopting New Investor Protection Rules,Business,real
Burberry Sees Positive Signs as Turnaround Plan Continues,Business,real
Rolls-Royce Strikes Contract to Supply Nuclear Reactors for U.K. Submarines,Business,real
China's WeRide Wants to Build Global Robotaxi Empire,Business,real
Visa leans into AI-enabled payments and stablecoins to stay ahead of the game in Asia,Business,real
"Bessent says Trump’s $2,000 checks would need congressional vote",Business,real
The Coast Guard has seized a record amount of cocaine — while Trump says interdiction has failed and is blowing up suspected drug boats,Business,real
"More groceries may benefit from tariff exemptions as the 2026 midterm elections get closer, analyst says",Business,real
The 2026 class of American Rhodes scholars includes 5 students at U.S. military academies,Business,real
The most advanced U.S. aircraft carrier arrives in the Caribbean as Trump adds to the growing fleet of warships near Venezuela,Business,real
"As voters demand affordability, Stanford economist argues for ‘temporary, targeted price controls’ with supply-side reforms",Business,real
Dr. Oz says ‘there are discussions’ on extending Affordable Care Act subsidies as Republicans scramble to address soaring healthcare costs,Business,real
"Ford’s first new headquarters in 70 years will have a showroom like a ‘James Bond villain’s lair,’ design chief says",Business,real
The sound of whistles: Chicago neighborhood leads the way in ICE resistance,Business,real
Indiana Republican called out by Trump on redistricting is swatted,Politics,real
Trump breaks with ‘wacky’ Marjorie Taylor Greene,Politics,real
Indiana redistricting push likely dead despite White House pressure,Politics,real
How to win back disillusioned voters | The Playbook Podcast,Politics,real
"Nevada Dems, GOP battle over ‘no-tax-on-tips’",Politics,real
"Seth Moulton on the Epstein emails, Venezuela and the shutdown",Politics,real
The nation’s cartoonists on the week in politics,Politics,real
Both Nevada senators spurned their party. They were reading the room.,Politics,real
"Seth Moulton on his Senate bid, Venezuela and the Epstein files | The Conversation",Politics,real
The 9 most shocking revelations in the Epstein docs,Politics,real
"Rahm Emanuel, considering White House bid, urges Dems to move center on crime",Politics,real
Protesters and UN security clash at climate summit in Brazil,Politics,real
Maine Democrat drops Senate bid for battleground House run,Politics,real
Trump built a surprising voter coalition. One key piece just cracked.,Politics,real
Utah judge denies GOP-passed congressional map,Politics,real
Top Maryland Dems urge state lawmakers to join redistricting effort,Politics,real
‘Complete betrayal’: 2026 Democrats slam shutdown deal,Politics,real
Poll: Here’s how much Trump voters would pay in taxes to back his policies,Politics,real
Ted Cruz accuses GOP senators of being ‘frightened’ to call out Tucker Carlson,Politics,real
The nation’s cartoonists on the week in politics,Politics,real
Pod Save America podcasters host CPAC ‘for the left’,Politics,real
Poll: Here’s who Democrats think is their leader,Politics,real
Free mofongo? Mamdani dazzles Democratic insiders in San Juan,Politics,real
Spanberger makes inroads with rural Republicans unhappy with Trump,Politics,real
Can a socialist mayor and Wall Street coexist? New York is about to find out.,Politics,real
Sherrill dismisses the Democratic bedwetters,Politics,real
Mikie Sherrill reacts to her election victory,Politics,real
Trump blames shutdown for GOP election losses,Politics,real
Democrats didn’t just rebound. They dominated.,Politics,real
"Affordability, affordability, affordability: Democrats’ new winning formula",Politics,real
"Trump, in reversal, calls on House GOP to vote to release Epstein files",Politics,real
MSNBC officially rebrands to MS Now: What to know,Politics,real
FAA ending all flight reductions at major US airports,Politics,real
"Trump administration to withdraw some National Guard troops from Chicago, Portland: Reports",Politics,real
"Suozzi, Bacon pitch ACA subsidies extension: ‘It will save people thousands and thousands of dollars’",Politics,real
Louisiana Republican says he’s ‘very concerned’ about possible hepatitis B vaccine schedule change,Politics,real
Britt says Senate should ‘take a look’ at $2K tariff checks,Politics,real
Sanders seeks to elevate progressive Senate candidates amid Democratic divide,Politics,real
Bessent: $2K tariff checks would go to ‘working families’,Politics,real
Murphy says Democrats made a ‘mistake’ by reopening government without ACA subsidies,Politics,real
US military kills 3 ‘narco-terrorists’ in Eastern Pacific as USS Gerald Ford arrives in Caribbean,Politics,real
Trump administration ‘willing to look at all options’ on health care: Oz,Politics,real
Senators’ surveillance payday exposes flawed privacy laws,Politics,real
New York Jets cornerback Kris Boyd shot in Manhattan: Sources,Politics,real
Massie predicts a ‘deluge’ of House Republicans will vote to release Epstein files,Politics,real
Johnson: Epstein push is Democrats’ ‘entire game plan’,Politics,real
Oz: Trump administration weighing ACA subsidies extension,Politics,real
"The government has reopened, but Congress must protect HIV funding for 2026",Politics,real
White House grapples with how to sell Trump agenda,Politics,real
"In a Congress full of millionaires, raising money becomes the job",Politics,real
Greene denies Trump told her not to run for Georgia governor,Politics,real
Khanna says Trump ‘losing his MAGA base’ over Epstein files,Politics,real
Greene: Trump’s remarks ‘put my life in danger’,Politics,real
We ban guns for marijuana but not for alcohol abuse — that makes no sense,Politics,real
Kaine defends Schumer: ‘Being the minority leader is tough’,Politics,real
"Live updates: Trump, Greene rift deepens ahead of House Epstein vote",Politics,real
US ramps up military presence near Venezuela,Politics,real
Changes are coming for tax filing season 2026: What to know,Politics,real
No pressure: How Isaacman could get the US back to the moon before China,Politics,real
Ken Burns’ new series offers a chance to reflect on the contributions of John Adams,Politics,real
Trump issues new pardons for Jan. 6 rioters,Politics,real
Six-figure earners feel they’re in ‘survival mode’: Poll,Politics,real
"Sorry, Republicans: ‘Democratic socialist’ is no longer a career-ender in US politics",Politics,real
Tariffs could cause prices of Italian-made pasta to surge,Politics,real
How the government shutdown hurt military personnel,Politics,real
"Canada loses its measles elimination status, and the US is close behind",Politics,real
Republicans clash over surprise phone records provision that could enrich senators,Politics,real
Majorities of Americans disapprove of ICE operates: Survey,Politics,real
Michelle Obama says US ‘not ready for a woman’ in the Oval Office,Politics,real
EXCLUSIVE: Becerra says investigators didn’t  inform him of full case against former staff,Politics,real
Border Patrol operations start in Charlotte,Politics,real
Maher trolls Trump after Epstein file dump: ‘I feel like I’ve seen this movie four times’,Politics,real
"Dulles people movers ‘slow, uncomfortable and occasionally dangerous’: Washington Post",Politics,real
"Trump muddles his populist message, worrying supporters",Politics,real
"Fetterman shares photo of face injuries after fall, hospitalization",Politics,real
Trump-Greene feud intensifies with new barbs,Politics,real
Sunday shows preview: Epstein files back in spotlight to Trump’s dismay; Shutdown impacts remain,Politics,real
Labubu movie in the works at Sony: reports,Politics,real
Tariffs cause shortage on holiday decor,Politics,real
Federal public defenders have gone without pay since July,Politics,real
Trump admin eyes moving convicted election clerk Tina Peters to federal custody,Politics,real
How Republicans can rescue the party and do something good for Americans,Politics,real
5 issues at the center of the Trump-Greene spat,Politics,real
Empire State of delusion — rent controls and the illusion of affordability,Politics,real
"Man tied to indicted Milwaukee judge Hannah Dugan’s case deported, DHS says",Politics,real
Jen Psaki is right — enough with the talking points,Politics,real
What’s next for the House as it returns from the shutdown fight,Politics,real
Social Security COLA: When will my benefits increase?,Politics,real
Senate Democrat: Trump in ‘daily panic mode’ over Epstein files,Politics,real
Suspect accused of breaching Alina Habba’s office now in custody: ‘We got him’,Politics,real
How Trump can prevent genocide in Sudan on his watch,Politics,real
Trump says ‘RINO’ Greene ‘betrayed the entire Republican Party’,Politics,real
How to reverse the dumbing down of American higher ed,Politics,real
"The abundance agenda sounds like a political winner, but it isn’t",Politics,real
Greene calls for ‘a new way forward’ after Trump pulls support,Politics,real
Kinzinger pushes back on Greene’s recent GOP criticism: ‘She really is a con artist’,Politics,real
New Jersey’s worker classification crackdown could have broad impact,Politics,real
Proposal could mean an additional $200 for Social Security recipients,Politics,real
Judge bars Trump from slashing funding for University of California,Politics,real
DOJ investigation into Berkeley’s Turning Point protest sends warning to other colleges,Politics,real
Democrats to aim shutdown fury at Senate primaries,Politics,real
Reid Hoffman responds to Trump’s Epstein investigation order: ‘An obvious ploy’,Politics,real
Trump on MRI: ‘I have no idea what they analyzed’,Politics,real
"Disney, YouTubeTV reach deal to restore ABC, ESPN on streamer",Politics,real
Trump says he ‘sort of made up’ his mind on Venezuela,Politics,real
Trump says he will sue BBC for between $1B and $5B,Politics,real
Trump pulls endorsement of Greene amid growing rift,Politics,real
FAA eases flight cuts to 3 percent,Politics,real
40 percent of young women want to leave US permanently: Poll,Politics,real
Ex-CBP officer sentenced to 15 years in prison in drug trafficking scheme,Politics,real
Trump cuts tariffs on scores of products in bid to lower prices,Politics,real
Hegseth’s ‘Southern Spear’ operation to pummel ‘narco-terrorists’: What to know,Politics,real
Mike Waltz paints Trump’s ‘Board of Peace’ as ‘only path to secure Gaza’ without Hamas,Politics,real
Archives releases first batch of Amelia Earhart records pledged by Trump,Politics,real
Hemp industry battles to save THC products from ban: 5 things to know,Politics,real
Bipartisan group of senators calls for release of funding for low-income heating ‘immediately’,Politics,real
USDA head says ‘everyone’ on SNAP will now have to reapply,Politics,real
Ghislaine Maxwell attorney says staffers at her prison fired after email leaked,Politics,real
"4 hemp THC products that could be banned by Congress: Gummies, vapes, drinks and creams",Politics,real
Tennessee Democrat suggests tearing down Trump ballroom if GOP loses in 2028,Politics,real
UFC fighter rejects White House cage match: ‘”Hunger Games” type of f‑‑‑ing s‑‑‑’,Politics,real
Former UVA president accuses DOJ of demanding his ouster under threat of funding cuts,Politics,real
Coast Guard spots Russian ship 15 miles off Hawaii,Politics,real
Bondi puts weight of SDNY behind Epstein investigation of Democrats,Politics,real
More than half of Americans oppose Caribbean strikes: Poll,Politics,real
"Indiana Senate GOP doesn’t have votes for redistricting, dealing blow to Trump",Politics,real
Trump border czar says Catholic Church ‘wrong’ on mass deportations,Politics,real
"Scarborough: Trump’s ‘coalition’ ends when he exits ‘scene,’ like Reagan, Obama",Politics,real
National Institutes of Health staffer put on nondisciplinary leave after criticizing NIH politicization,Politics,real
Greene: Trump making ‘huge miscalculation’ on Epstein,Politics,real
Trump calls on House Republicans to vote to release Epstein files: 'We have nothing to hide',Politics,real
Trump reveals Maduro 'would like to talk' as military options remain on the table for Venezuela,Politics,real
Marco Rubio says Nicolás Maduro’s Cartel de los Soles to be designated a terrorist organization,Politics,real
The Speaker’s Lobby: Happy New Year as shutdown showdown draws to a close,Politics,real
US forces kill 3 narco-terrorists in Eastern Pacific lethal strike operation targeting drug networks,Politics,real
Zelenskyy moves to 'clean up' Ukraine's energy sector as corruption scandal rocks leadership,Politics,real
Skies at stake: Inside the US-China race for air dominance,Politics,real
Michelle Obama says America 'not ready' for woman president: 'We saw in this past election',Politics,real
Laura Loomer teases Georgia move after President Trump says he wants Marjorie Taylor Greene primaried,Politics,real
Democratic Rep. Brad Sherman denies viewing pornography on flight after viral photos surface online,Politics,real
"Border czar Tom Homan slams Catholic Church, says a ‘secure border saves lives’",Politics,real
"Sen. Fetterman shares graphic photo after heart rhythm scare, says doctors ‘put me back together’",Politics,real
"Indiana Senate Republicans reject Trump-backed redistricting push, decline to meet in December",Politics,real
"Trump issues fresh pardons for Jan 6 defendants, including woman accused of threatening FBI on social media",Politics,real
"Trump ends shutdown, faces backlash and makes surprise Epstein move amid chaotic week",Politics,real
"Trump gives ex-ally Greene new nickname after dropped endorsement, says she betrayed 'entire Republican Party'",Politics,real
"Leading Senate Democrat tells Fox News 'it's time ... for new leadership,' as Schumer faces growing pressure",Politics,real
Meet the socialist Mamdani-style mayor just elected to run West Coast's 5th largest city,Politics,real
Dems say base is 'rightfully' angry over their leaders caving to GOP during shutdown fight: 'Porch puppies',Politics,real
Setting the stage: What the 2025 elections signal for next year's midterm showdowns,Politics,real
FBI arrests suspect in attack on US Attorney Alina Habba's office,Politics,real
Socialist wave goes coast-to-coast as historic wins shake up the 2025 mayoral elections,Politics,real
EPA chief wraps national tour as critics slam deregulation agenda,Politics,real
Destiny or Dynasty: Inside the new class of political nepo babies vying for power,Politics,real
Trump administration stays silent as massive Ukraine corruption scandal rocks Zelenskyy's inner circle,Politics,real
How Kyrsten Sinema's decision makes Democrats' 2024 Senate map tighter,Politics,real
Meet the woman steering Biden's bipartisan winning streak on Capitol Hill,Politics,real
CNN Political Briefing,Politics,real
The Axe Files with David Axelrod,Politics,real
Margins of Error,Politics,real
The notable legal clouds that continue to hang over Donald Trump,Politics,real
The fine print of the Respect for Marriage Act,Politics,real
Everything you need to know about Biden's student loan forgiveness program,Politics,real
Politics of the Day,Politics,real
0% intro APR until 2024 is 100% insane,Politics,real
